REGEX,ENDING,AUX,PPRÉSENT,PPASSÉ,PRÉSENT,IMPARFAIT,PASSÉ,FUTUR,SPRÉSENT,SIMPARFAIT,IMPÉRATIF,CONDITION,INFINITIF
.*andre|.*endre|.*ondre|.*erdre|.*ordre|.*eurdre,dre,avoir,dant,du,"ds,ds,d,dons,dez,dent","dais,dais,dait,dions,diez,daient","dis,dis,dit,dîmes,dîtes,dirent","drai,dras,dra,drons,drez,dront","de,des,de,dions,diez,dent","disse,disses,dît,dissions,dissiez,dissent",",ds,,dons,dez,","drais,drais,drait,drions,driez,draient",dre
.*boire,oire,avoir,uvant,u,"ois,ois,oit,uvons,uvez,oivent","uvais,uvais,uvait,uvions,uviez,uvaient","us,us,ut,ûmes,ûtes,urent","oirai,oiras,oira,oirons,oirez,oiront","oive,oives,oive,uvions,uviez,oivent","usse,usses,ût,ussions,ussiez,ussent",",ois,,uvons,uvez,","oirais,oirais,oirait,oirions,oiriez,oiraient",oire
.*clore,ore,avoir,osant,os,"os,os,ôt,,,osent",",,,,,",",,,,,","orai,oras,ora,orons,orez,oront","ose,oses,ose,osions,osiez,osent",",,,,,",",os,,,,","orais,orais,orait,orions,oriez,oraient",ore
.*clure,ure,avoir,uant,u,"us,us,ut,uons,uez,uent","uais,uais,uait,uions,uiez,uaient","us,us,ut,ûmes,ûtes,urent","urai,uras,ura,urons,urez,uront","ue,ues,ue,uions,uiez,uent","usse,usses,ût,ussions,ussiez,ussent",",us,,uons,uez,","urais,urais,urait,urions,uriez,uraient",ure
.*confire,ire,avoir,isant,it,"is,is,it,isons,isez,isent","isais,isais,isait,isions,isiez,isaient","is,is,it,îmes,îtes,irent","irai,iras,ira,irons,irez,iront","ise,ises,ise,isions,isiez,isent","isse,isses,ît,issions,issiez,issent",",is,,isons,isez,","irais,irais,irait,irions,iriez,iraient",ire
.*connaître|.*paraître,aître,avoir,aissant,u,"ais,ais,aît,aissons,aissez,aissent","aissais,aissais,aissait,aissions,aissiez,aissaient","us,us,ut,ûmes,ûtes,urent","aîtrai,aîtras,aîtra,aîtrons,aîtrez,aîtront","aisse,aisses,aisse,aissions,aissiez,aissent","usse,usses,ût,ussions,ussiez,ussent",",ais,,aissons,aissez,","aîtrais,aîtrais,aîtrait,aîtrions,aîtriez,aîtraient",aître
.*coudre,dre,avoir,sant,su,"ds,ds,d,sons,sez,sent","sais,sais,sait,sions,siez,saient","sis,sis,sit,sîmes,sîtes,sirent","drai,dras,dra,drons,drez,dront","se,ses,se,sions,siez,sent","sisse,sisses,sît,sissions,sissiez,sissent",",ds,,sons,sez,","drais,drais,drait,drions,driez,draient",dre
.*crire,re,avoir,vant,t,"s,s,t,vons,vez,vent","vais,vais,vait,vions,viez,vaient","vis,vis,vit,vîmes,vîtes,virent","rai,ras,ra,rons,rez,ront","ve,ves,ve,vions,viez,vent","visse,visses,vît,vissions,vissiez,vissent",",s,,vons,vez,","rais,rais,rait,rions,riez,raient",re
.*croire,oire,avoir,oyant,u,"ois,ois,oit,oyons,oyez,oient","oyais,oyais,oyait,oyions,oyiez,oyaient","us,us,ut,ûmes,ûtes,urent","oirai,oiras,oira,oirons,oirez,oiront","oie,oies,oie,oyions,oyiez,oient","usse,usses,ût,ussions,ussiez,ussent",",ois,,oyons,oyez,","oirais,oirais,oirait,oirions,oiriez,oiraient",oire
.*croître,oître,avoir,oissant,u,"ois,ois,oit,oissons,oissez,oissent","oissais,oissais,oissait,oissions,oissiez,oissaient","us,us,ut,ûmes,ûtes,urent","oîtrai,oîtras,oîtra,oîtrons,oîtrez,oîtront","oisse,oisses,oisse,oissions,oissiez,oissent","usse,usses,ût,ussions,ussiez,ussent",",ois,,oissons,oissez,","oîtrais,oîtrais,oîtrait,oîtrions,oîtriez,oîtraient",oître
